"NO","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","matrix type","thickness/μm","T/℃","P/bar","Control N2 permeability","Control CO2 permeability","Control CO2/N2 selectivity","Relative N2 permeability","Relative CO2 permeability","Relative CO2/N2 selectivity"
"128","","","UiO-66","NH2","57.5","822","11","5.9","7.50%","PEBA","","25","0.3","1.09 ","50.00 ","46.00 ","0.93 ","1.56 ","1.67 "
"129","","","UiO-66","NH2","57.5","822","11","5.9","10.00%","PEBA","","25","0.3","1.09 ","50.00 ","46.00 ","0.94 ","1.64 ","1.75 "
"130","","","UiO-66","NH2","57.5","822","11","5.9","12.50%","PEBA","","25","0.3","1.09 ","50.00 ","46.00 ","1.92 ","1.88 ","0.98 "
"131","","","UiO-66","NH2","57.5","822","11","5.9","15.00%","PEBA","","25","0.3","1.09 ","50.00 ","46.00 ","2.45 ","2.00 ","0.82 "
"132","","","UiO-66","NH2","57.5","822'","11","5.9","20.00%","PEBA","","25","0.3","1.09 ","50.00 ","46.00 ","4.39 ","2.48 ","0.57 "
"134","2015","15","UiO-66","","100","1263","11","6","2.50%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","1.11 ","1.38 ","1.24 "
"135","","","UiO-66","","100","1263","11","6","4.60%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","1.39 ","1.48 ","1.06 "
"136","","","UiO-66","","100","1263","11","6","10.70%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","1.28 ","1.42 ","1.11 "
"137","","","UiO-66","","100","1263","11","6","20.30%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","1.06 ","1.15 ","1.09 "
"138","","","UiO-66","","100","1263","11","6","2.40%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","1.72 ","1.33 ","0.77 "
"139","","","UiO-66","","100","1263","11","6","4.80%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","2.39 ","2.86 ","1.20 "
"140","","","UiO-66","","100","1263","11","6","10.00%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","2.00 ","2.26 ","1.13 "
"141","","","UiO-66","","100","1263","11","6","13.80%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","1.28 ","1.25 ","0.98 "
"142","","","UiO-66","","100","1359","11","6","2.50%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","2.39 ","2.03 ","0.85 "
"143","","","UiO-66","","100","1359","11","6","5.00%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","3.67 ","3.74 ","1.02 "
"144","","","UiO-66","","100","1359'","11","6","10.00%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","1.44 ","1.77 ","1.22 "
"145","","","UiO-66","","100","1359","11","6","13.30%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","0.89 ","1.08 ","1.21 "
"146","","","UiO-66","","100","1328","11","6","2.60%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","2.28 ","2.39 ","1.05 "
"147","","","UiO-66","","100","1328","11","6","5.10%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","2.11 ","2.18 ","1.03 "
"148","","","UiO-66","","100","1328","11","6","10.10%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","1.72 ","1.91 ","1.11 "
"149","","","UiO-66","","100","1328","11","6","13.30%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","5.83 ","4.07 ","0.70 "
"150","","","UiO-66","","100","1249","11","6","2.40%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","2.89 ","2.99 ","1.03 "
"151","","","UiO-66","","100","1249","11","6","5.10%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","1.67 ","1.96 ","1.18 "
"152","","","UiO-66","","100","1249","11","6","9.70%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","2.56 ","2.07 ","0.81 "
"153","","","UiO-66","","100","1249","11","6","13.90%","PIM-1-TT","","25.0 ","2.0 ","180.00 ","3620.00 ","20.11 ","0.56 ","0.85 ","1.53 "
"155","2019","16","UiO-66","","1250","1476","11","6","10.00%","PSF","","25","10","0.20 ","5.70 ","28.00 ","1.40 ","1.51 ","1.08 "
"156","","","UiO-66","","1250","1476","11","6","20.00%","PSF","","25","10","0.20 ","5.70 ","28.00 ","1.95 ","2.16 ","1.11 "
"157","","","UiO-66","","1250","1476","11","6","30.00%","PSF","","25","10","0.20 ","5.70 ","28.00 ","2.46 ","3.07 ","1.25 "
"158","","","UiO-66","","1250","1156","11","6","10.00%","PSF","","25","10","0.20 ","5.70 ","28.00 ","1.26 ","1.44 ","1.14 "
"159","","","UiO-66","","1250","1156","11","6","20.00%","PSF","","25","10","0.20 ","5.70 ","28.00 ","1.59 ","2.12 ","1.34 "
"160","","","UiO-66","","1250","1156","11","6","30.00%","PSF","","25","10","0.20 ","5.70 ","28.00 ","1.96 ","2.95 ","1.50 "
"172","2018","18","UiO-66","","50","1325","11","6","20.00%","PIM-1-TD","","25.0 ","4.0 ","351.00 ","6576.00 ","18.74 ","1.20 ","1.08 ","0.90 "
"173","","","UiO-66","NH2","1000","348","11","6","20.00%","PIM-1-TD","","25.0 ","4.0 ","351.00 ","6576.00 ","18.74 ","1.30 ","1.20 ","0.92 "
"174","","","UiO-66","NH2","1000","1200","11","6","20.00%","PIM-1-TD","","25.0 ","4.0 ","351.00 ","6576.00 ","18.74 ","1.32 ","1.16 ","0.88 "
"176","","","UiO-66","NH2","1000","1090","11","6","20.00%","PIM-1-TD","","25.0 ","4.0 ","351.00 ","6576.00 ","18.74 ","1.58 ","2.40 ","1.52 "
"177","","","UiO-66","NH2","1000","920","11","6","20.00%","PIM-1-TD","","25.0 ","4.0 ","351.00 ","6576.00 ","18.74 ","0.66 ","1.90 ","2.90 "
