"NO","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","matrix type","thickness/μm","T/℃","P/bar","Control N2 permeability","Control CO2 permeability","Control CO2/N2 selectivity","Relative N2 permeability","Relative CO2 permeability","Relative CO2/N2 selectivity"
"356 ","","","ZIF-7","NH2","30.0 ","350.0 ","7.50 ","3.00 ","5%","PEI","400 ","35.0 ","2.03 ","20.80 ","82.50 ","3.97 ","8.78 ","2.98 ","0.34 "
"361 ","2017 ","52 ","ZIF-300","","1000.0 ","546.0 ","","7.90 ","10%","PEBAX 1657","","20.0 ","0.4 ","0.92 ","51.00 ","55.50 ","0.99 ","1.29 ","1.31 "
"362 ","","","ZIF-300","","1000.0 ","546.0 ","","7.90 ","20%","PEBAX 1657","","20.0 ","0.4 ","0.92 ","51.00 ","55.50 ","0.99 ","1.41 ","1.42 "
"363 ","","","ZIF-300","","1000.0 ","546.0 ","","7.90 ","30%","PEBAX 1657","","20.0 ","0.4 ","0.92 ","51.00 ","55.50 ","1.07 ","1.63 ","1.52 "
"364 ","","","ZIF-300","","1000.0 ","546.0 ","","7.90 ","40%","PEBAX 1657","","20.0 ","0.4 ","0.92 ","51.00 ","55.50 ","0.97 ","0.96 ","0.99 "
"371 ","2017 ","54 ","ZIF-90","","79.0 ","1426.0 ","11.20 ","3.50 ","10%","6FDA-TP","58 ","35.0 ","","1.00 ","20.00 ","20.00 ","1.10 ","1.30 ","1.18 "
"372 ","","","ZIF-90","","79.0 ","1426.0 ","11.20 ","3.50 ","20%","6FDA-TP","58 ","35.0 ","","1.00 ","20.00 ","20.00 ","1.30 ","1.45 ","1.12 "
"373 ","","","ZIF-90","","79.0 ","1426.0 ","11.20 ","3.50 ","40%","6FDA-TP","58 ","35.0 ","","1.00 ","20.00 ","20.00 ","2.20 ","2.25 ","1.02 "
"374 ","","","ZIF-90","","79.0 ","1426.0 ","11.20 ","3.50 ","50%","6FDA-TP","58 ","35.0 ","","1.00 ","20.00 ","20.00 ","3.10 ","3.15 ","1.02 "
"17","2017","3","MIL 96","","220","600","11","11","25.00%","6FDA-DAM","62.5","25","2","31.30 ","720.00 ","23.00 ","1.25 ","1.40 ","1.12 "
"18","","","MIL 96","","70","","9.5","9.5","25.00%","6FDA-DAM","62.5","25","2","31.30 ","720.00 ","23.00 ","1.33 ","1.53 ","1.15 "
"80","2014","10","MIL53 Al","","100","1590","8.50 ","8.50 ","37.50%","Matrimid 5218","55","35.00 ","2.00 ","0.25 ","8.40 ","33.60 ","1.68 ","4.76 ","2.83 "
"81","","","MIL53 Al","","100","1118","8.50 ","8.50 ","33.30%","Matrimid 5218","55","35.00 ","2.00 ","0.25 ","8.40 ","33.60 ","2.48 ","3.17 ","1.28 "
"82","","","MIL53 Al","","100","1118","8.50 ","8.50 ","37.50%","Matrimid 5218","55","35.00 ","2.00 ","0.25 ","8.40 ","33.60 ","7.20 ","6.19 ","0.86 "
"84","2016","11","MIL-101(Cr)","NH2","","2070","","15.4","5.00%","PIM-1","40","25","3","146.67 ","2420.00 ","16.50 ","1.26 ","1.33 ","1.06 "
"85","","","MIL-101(Cr)","NH2","","2070","","15.4","10.00%","PIM-1","40","25","3","146.67 ","2420.00 ","16.50 ","1.43 ","1.38 ","0.97 "
"86","","","MIL-101(Cr)","NH2","","2070","","15.4","15.00%","PIM-1","40","25","3","146.67 ","2420.00 ","16.50 ","1.66 ","1.43 ","0.86 "
"87","","","MIL-101(Cr)","NH2","","2070","","15.4","5.00%","PIM-1","40","25","3","146.67 ","2420.00 ","16.50 ","0.55 ","1.24 ","2.25 "
"88","","","MIL-101(Cr)","NH2","","2070","","15.4","10.00%","PIM-1","40","25","3","146.67 ","2420.00 ","16.50 ","0.61 ","1.26 ","2.08 "
